Model,MAE,RMSE,R2
Random Forest,484.1979853717521,837.3341198941996,0.9525905678739048
XGBoost,752.2046508789062,1101.2955438936453,0.9179884791374207
Linear Regression,1751.4077352656304,2507.8369958072212,0.5747289823708764
